CustomerID,Comments,Label,Media,sentiment
1,thanks ranvir bringing podcast,1,youtube,1
2,level podcast much diversity podcasts,1,youtube,0
3,u managed bring live pure heart,1,youtube,0
4,feeling much great full listen .,1,youtube,1
5,yet another heart touching vlog,1,youtube,0
6,informative podcast,1,youtube,0
7,u managed bring live pure heart,1,youtube,0
8,one best podcast channel .,1,youtube,1
9,amazing podcast,1,youtube,1
10,beautiful podcast,1,youtube,1
11,excellent interview window past,1,youtube,1
12,conversation never ended,1,youtube,0
13,beautiful interview,1,youtube,1
14,loved see sister podcast,1,youtube,1
15,podcast wonderful,1,youtube,1
16,one best podcast ever watched,1,youtube,1
17,love episode,1,youtube,1
18,ranveer effortlessly well,1,youtube,1
19,lovely interview/podcast,1,youtube,1
20,thanku much podcast,1,youtube,0
21,best podcast loved content overall conversation,1,youtube,1
22,truly enjoyed podcast,1,youtube,1
23,always catchy listen podcast,1,youtube,0
24,thoroughly enjoyed,1,youtube,1
25,trs raising bar podcasters higher higher,1,youtube,0
26,love podcast looking forward episode,1,youtube,1
27,fantastic episode,1,youtube,1
28,beautiful episode new topic,1,youtube,1
29,beautiful podcast beautiful,1,youtube,1
30,really enjoyed podcast,1,youtube,1
31,ranveer humble,1,youtube,0
32,powerful podcast,1,youtube,1
33,ranveer suprising u everytime,1,youtube,0
34,amazing royal podcast,1,youtube,1
35,thank ranveer podcast,1,youtube,1
36,one good podcast watched,1,youtube,1
37,cool ease,1,youtube,1
38,really nice conversation,1,youtube,1
39,glad see podcast,1,youtube,1
40,maja aa gaya,1,youtube,0
41,excellent pick subject chosen,1,youtube,1
42,one great podcast,1,youtube,1
43,fabulous,1,youtube,1
44,ranveer pls n't stop podcast channel,1,youtube,1
45,enjoyed beautiful informative episode,1,youtube,1
46,one best podcast ever watched,1,youtube,1
47,always watch podcast one favourite,1,youtube,0
48,superb interview,1,youtube,1
49,seen podcast unique,1,youtube,0
50,podcast beautiful,1,youtube,1
51,amazing podcast…amazing guest,1,youtube,1
52,seen many podcast way conduct podcast class apart,1,youtube,0
53,wow…something new captivating topic,1,youtube,0
54,amazing podcast,1,youtube,1
55,first podcast seen without skipping,1,youtube,0
56,n't think used appropriate word,-1,youtube,0
57,first time ’ agree brother,-1,youtube,1
58,actor felt like forced come,-1,youtube,1
59,rich guy associated bollywood trying act middle class podcasts,-1,youtube,1
60,bhai ba kar yaar,-1,youtube,0
61,always enjoy watching podcast,1,youtube,1
62,great video….looking forward content,1,youtube,1
63,use disclaimer,0,youtube,0
64,show lifeline,1,youtube,0
65,really wish meet least life,1,youtube,1
66,feel,1,youtube,0
67,event life remembering indeed,1,youtube,0
68,content best,1,youtube,1
69,"podcast view learning , lesson inspiration",-1,youtube,1
70,need podcast,1,youtube,0
71,’ stop podcast,1,youtube,-1
72,podcasts make sens .. kindly ’ promotion ambani,0,youtube,1
73,superb podcast,1,youtube,1
74,'s really true real review,1,youtube,1
75,ranveer sound star struck surprising n't think public display wealth glorified anymore responsible citizen,-1,youtube,1
76,much needed ranveer,1,youtube,0
77,ranveer allahbadia marketing agent,-1,youtube,0
78,amazing quality podcast,1,youtube,1
79,ranveer bali influencer totally fake,-1,youtube,-1
80,let manipulate audience,-1,youtube,0
81,ranveer : full positivity,1,youtube,1
82,great episode ranveer,1,youtube,1
83,love dedication,1,youtube,1
84,love podcast please keep going,1,youtube,1
85,way podcast positioned… fooled u,-1,youtube,-1
86,inception ranveer really disgusting,-1,youtube,-1
87,cashing ? wow,0,youtube,1
88,every podcast feel much emotion,1,youtube,0
89,video hit differently,1,youtube,0
90,love podcasting,1,youtube,1
91,want podcast story,1,youtube,1
92,ranveer like alien also arrived,0,youtube,1
93,manifesto podcast,1,youtube,0
94,amazing,1,youtube,1
95,able maintain image `` big fat indian wedding '',0,youtube,0
96,respect ranveer 1,1,youtube,1
97,podcast 1 pr,-1,youtube,0
98,nice input,1,youtube,1
99,vote msd podcast,1,youtube,0
100,ranveer treating good,1,youtube,1
101,first time watched podcast,0,youtube,0
102,cheer ranveer acknowledging,1,youtube,1
